,itemLabel,pubmedid,year,eupcm_citations
171,Cancer: A piece of the p53 puzzle.,25799989,2012.0,7
172,Cancer: An extravascular route for tumour cells.,25855292,2012.0,1
173,Cancer: Antibodies regulate antitumour immunity.,25924066,2013.0,12
174,Cancer: Mutant p53 and chromatin regulation,26331537,2013.0,12
175,Cancer: Oncogene brought into the loop.,26700812,2011.0,4
176,Cancer: Opening LOX to metastasis.,26017311,2012.0,6
177,Cancer: Organ-seeking vesicles.,26524529,2011.0,14
178,Cancer: Precise control of localized signals.,26017306,2011.5,2
179,Cancer: Repositioned to kill stem cells.,26331538,2009.0,3
180,Cancer: Risk factors and random chances.,25631443,2004.5,10
181,Cancer: The enemy of my enemy is my friend.,26503052,2013.5,20
182,Cannabis: debated schizophrenia link,26581281,2011.0,3
183,Cannabis: monitor policy changes.,26581279,2015.0,3
184,Carbon: Resolve ambiguities in China's emissions.,26399821,2015.0,1
185,Cardiac biology: A protein for healing infarcted hearts.,26375007,2012.0,2
186,Cardiac lymphatics are heterogeneous in origin and respond to injury.,25992544,2008.0,101
187,Cas9 specifies functional viral targets during CRISPR-Cas adaptation.,25707807,2012.0,118
188,Caspase target drives pyroptosis,26375000,2010.0,17
189,Catalysis: Gold unleashes the power of three.,25612046,2013.0,0
190,Catalysts from synthetic genetic polymers,25470036,2006.0,61
191,Catalytic asymmetric umpolung reactions of imines.,26201597,2011.0,37
192,Cell biology: Death drags down the neighbourhood.,25607370,2009.0,0
193,Cell biology: Receptors for selective recycling.,26040721,2012.0,8
194,Cell biology: Surviving import failure.,26245372,2012.0,0
195,Cell biology: Tagged tags engage disposal.,26266982,2014.0,2
196,Cell biology: nuclear dilemma resolved.,26040718,2011.0,0
197,Cell death during crisis is mediated by mitotic telomere deprotection,26108857,2005.5,38
198,Cell division: A last-minute decision.,26659177,2009.0,0
199,Cell fate: Transition loses its invasive edge.,26560026,2014.0,11
200,Cell imaging: Beyond the limits.,26488241,2002.0,1
201,Cell metabolism: Sugar for sight.,26108850,2008.0,8
202,Cell mixing induced by myc is required for competitive tissue invasion and destruction.,26287461,2009.0,38
203,Cell signalling: Disarming Wnt.,25731170,2010.0,13
204,Cell-fate determination by ubiquitin-dependent regulation of translation,26399832,2010.5,46
205,Cell-intrinsic adaptation of lipid composition to local crowding drives social behaviour.,26009010,2009.0,33
206,Cell-of-origin chromatin organization shapes the mutational landscape of cancer,25693567,2012.0,161
207,Chemical biology: How to minimalize antibodies.,25652990,2013.0,2
208,Chemical biology: Protein modification in a trice.,26511575,2013.5,1
209,Chromatin architecture reorganization during stem cell differentiation.,25693564,2012.0,396
210,Chromothripsis from DNA damage in micronuclei.,26017310,2012.0,249
211,Circadian clocks: A receptor for subtle temperature changes.,26580008,2012.0,0
212,Climate change also creates expatriates.,26607535,2015.0,0
213,Climate change and the permafrost carbon feedback.,25855454,2013.0,156
214,Climate change: A rewired food web.,26536113,2012.0,7
215,Climate change: Black carbon and atmospheric feedbacks.,25762278,2012.5,5
216,Climate change: Climate justice more vital than democracy.,26469033,2015.0,0
217,Climate modelling: Community initiative tackles urban heat.,26432235,2015.0,0
218,Climate science: A history of Greenland's ice loss.,26672549,2014.0,0
219,Climate science: Small glacier has big effect on sea-level rise.,26490614,2013.0,0
220,Climate science: The Sun and the rain.,26659179,2011.0,1
221,Climate science: The future of coastal ocean upwelling.,25693560,2009.5,3
222,Climate science: The long future of Antarctic melting.,26469037,2015.0,0
223,Climate science: Unburnable fossil-fuel reserves.,25567276,2014.0,2
224,Climate science: Uncertain future for vegetation cover.,26245579,2014.0,4
225,Clinical improvement in psoriasis with specific targeting of interleukin-23.,25754330,2008.0,79
226,Clinical trials: Crowdfunded trials doubly scrutinized.,26672542,2015.0,0
227,Cloning and variation of ground state intestinal stem cells,26040716,2010.0,67
228,Cognitive disorders: Deep brain stimulation for Rett syndrome.,26469040,2013.0,1
229,Collaborations: Mining the motherlodes.,26536225,2012.0,3
230,Collisionless encounters and the origin of the lunar inclination.,26607544,2006.5,3
231,Combinatorial gene regulation by modulation of relative pulse timing.,26466562,2008.0,44
232,Comet 67P/Churyumov-Gerasimenko sheds dust coat accumulated over the past four years.,25624103,2010.0,8
233,Commensal-dendritic-cell interaction specifies a unique protective skin immune signature,25539086,2011.0,156
234,Comment: A well-connected world.,26560452,2010.5,0
235,Common Agricultural Policy: Tackling soil loss across Europe.,26450048,2015.0,1
236,Common genetic variants influence human subcortical brain structures,25607358,2011.0,251
237,Comparison of diagnostics for the detection of asymptomatic Plasmodium falciparum infections to inform control and elimination strategies.,26633770,2011.0,59
238,Competitive binding of antagonistic peptides fine-tunes stomatal patterning.,26083750,2009.0,78
239,Complete nitrification by Nitrospira bacteria.,26610024,2009.0,213
240,Complete nitrification by a single microorganism.,26610025,2007.0,164
241,Complex archaea that bridge the gap between prokaryotes and eukaryotes,25945739,2010.0,271
242,Comprehensive genomic characterization of head and neck squamous cell carcinomas,25631445,2011.0,933
243,Comprehensive genomic profiles of small cell lung cancer.,26168399,2012.0,351
244,Computational astrophysics: Monstrous galaxies unmasked.,26399827,2006.5,0
245,Computational biology: How to catch rare cell types.,26287456,2014.0,2
246,Computational design of co-assembling protein-DNA nanowires,26331548,2006.0,19
247,Computational imaging: Machine learning for 3D microscopy.,26201593,2012.0,8
248,Computer science: Nanoscale connections for brain-like circuits.,25951279,1995.5,1
249,Condensin-driven remodelling of X chromosome topology during dosage compensation.,26030525,2011.5,151
250,Conformational control of DNA target cleavage by CRISPR-Cas9.,26524520,2014.0,125
251,Conformational dynamics of a class C G-protein-coupled receptor,26258295,2010.0,44
252,Conservation conflict: Factor people into tiger conservation.,26085259,2014.0,0
253,Conservation management: Probe effects of krill fishing and climate,26201590,2015.0,1
254,Conservation: Giant tortoises hatch on Galapagos island.,25592525,2013.0,2
255,Conserved epigenomic signals in mice and humans reveal immune basis of Alzheimer's disease.,25693568,2011.5,169
256,Contingency management: Why it pays to quit.,26107098,2012.0,1
257,Contribution of changes in atmospheric circulation patterns to extreme temperature trends.,26108856,2013.0,27
258,Control of REM sleep by ventral medulla GABAergic neurons.,26444238,1998.0,52
259,Controlling many-body states by the electric-field effect in a two-dimensional material.,26700810,2011.0,38
260,Controlling neutron orbital angular momentum.,26399831,2010.0,16
261,Convergent loss of PTEN leads to clinical resistance to a PI(3)Kα inhibitor.,25409150,2010.5,148
262,Conversion of abiraterone to D4A drives anti-tumour activity in prostate cancer.,26030522,2011.5,93
263,Conversion of amides to esters by the nickel-catalysed activation of amide C-N bonds.,26200342,2012.0,76
264,Coordinated regulation of bidirectional COPI transport at the Golgi by CDC42,25945738,2008.0,36
265,"Corrigendum: Carbonic anhydrases, EPF2 and a novel protease mediate CO2 control of stomatal development.",26287465,2010.0,0
266,Corrigendum: Cleavage of CAD inhibitor in CAD activation and DNA degradation during apoptosis.,26416741,1998.0,2
267,Corrigendum: Greenland supraglacial lake drainages triggered by hydrologically induced basal slip,26131938,2015.0,0
268,Corrigendum: Hypoxia fate mapping identifies cycling cardiomyocytes in the adult heart.,26700813,2015.0,2
269,Corrigendum: In vivo engineering of oncogenic chromosomal rearrangements with the CRISPR/Cas9 system.,26106864,2014.0,0
270,Corrigendum: Influence maximization in complex networks through optimal percolation.,26524523,2015.0,1
271,Corrigendum: Mapping tree density at a global scale.,26675733,2015.0,0
272,Corrigendum: Mutant IDH inhibits HNF-4α to block hepatocyte differentiation and promote biliary cancer,26580013,2014.0,2
273,Corrigendum: Pan-viral specificity of IFN-induced genes reveals new roles for cGAS in innate immunity.,26153856,2011.0,8
274,Corrigendum: Regulatory analysis of the C. elegans genome with spatiotemporal resolution,26560031,2014.0,1
275,Corrigendum: The formation and fate of internal waves in the South China Sea.,26580017,2015.0,0
276,Cosmetics: Molecular beauty.,26444373,2012.5,1
277,Cosmology: The oldest cosmic light.,25673407,2008.0,0
278,Counteraction of antibiotic production and degradation stabilizes microbial communities,25992546,2006.0,60
279,Cruchaga & Goate reply,25832409,2010.0,1
280,Cruchaga & Goate reply.,25832412,2014.0,3
281,Crucial HSP70 co-chaperone complex unlocks metazoan protein disaggregation.,26245380,2006.0,88
282,Cryo-electron microscopy structure of the Slo2.2 Na(+)-activated K(+) channel.,26436452,2010.0,48
283,Crystal structure of human glycine receptor-α3 bound to antagonist strychnine,26416729,2006.0,70
284,Crystal structure of rhodopsin bound to arrestin by femtosecond X-ray laser,26200343,2011.0,217
285,Crystal structure of the 500-kDa yeast acetyl-CoA carboxylase holoenzyme dimer.,26458104,2005.0,17
286,Crystal structure of the RNA-dependent RNA polymerase from influenza C virus.,26503046,2009.0,53
287,Crystal structure of the V(D)J recombinase RAG1-RAG2,25707801,2004.0,53
288,Crystal structure of the dynamin tetramer,26302298,2010.0,38
289,Crystal structure of the eukaryotic origin recognition complex.,25762138,2007.0,52
290,Crystal structure of the human OX2 orexin receptor bound to the insomnia drug suvorexant,25533960,2009.0,58
291,Crystal structures of a double-barrelled fluoride ion channel,26344196,2010.0,31
292,Crystal structures of the human adiponectin receptors.,25855295,2005.5,51
293,Curtain eruptions from Enceladus' south-polar terrain.,25951283,2006.0,4
294,Cyanate as an energy source for nitrifiers.,26222031,2009.0,44
295,Cyclic di-GMP acts as a cell cycle oscillator to drive chromosome replication.,25945741,2008.5,61
296,Cytokine anniversary: TNF trailblazers five centuries apart.,26156365,1984.5,1
297,Cytosolic extensions directly regulate a rhomboid protease by modulating substrate gating.,25970241,2008.0,13
298,DDX5 and its associated lncRNA Rmrp modulate TH17 cell effector functions,26675721,2011.0,73
299,DNA rendering of polyhedral meshes at the nanoscale.,26201596,2009.0,101
300,DNA repair: Familiar ends with alternative endings.,25642961,2010.0,3
301,DNA replication: Strand separation unravelled.,26222029,2010.0,2
302,DNA-dependent formation of transcription factor pairs alters their binding specificity,26550823,2010.0,135
303,Data curation: Act to staunch loss of research data.,25903618,2011.0,1
304,Dating techniques: Illuminating the past.,25903619,2002.5,6
305,David M. Raup (1933-2015).,26245575,1984.0,0
306,Death from drought in tropical forests is triggered by hydraulics not carbon starvation.,26595275,2012.0,89
307,Decadal slowdown of a land-terminating sector of the Greenland Ice Sheet despite warming.,26511580,2013.0,12
308,Decapentaplegic and growth control in the developing Drosophila wing.,26550824,2007.0,33
309,Decompensated cirrhosis and microbiome interpretation.,26381988,2012.0,28
310,Decrease in CO2 efflux from northern hardwater lakes with increasing atmospheric warming.,25731167,2008.0,6
311,Deep imaging of bone marrow shows non-dividing stem cells are mainly perisinusoidal.,26416744,2010.5,168
312,Deep learning,26017442,2002.5,1906
313,Deep phenotyping: The details of disease.,26536218,2012.0,43
314,Deep-time evolution of regeneration and preaxial polarity in tetrapod limb development.,26503047,2009.0,12
315,Defining fundamental steps in the assembly of the Drosophila RNAi enzyme complex.,25822791,2009.0,37
316,Dengue virus: Bumps in the road to therapeutic antibodies.,26289200,2013.0,0
317,Depletion of fat-resident Treg cells prevents age-associated insulin resistance.,26580014,2011.0,71
318,Designing switchable polarization and magnetization at room temperature in an oxide.,26381984,2011.0,6
319,Deubiquitinase DUBA is a post-translational brake on interleukin-17 production in T cells,25470037,2009.0,37
320,Developing world: Use mentoring to fix science inequality.,25592526,2014.0,1
321,Developmental biology: Diversity in the   lymphatic vasculature.,25992543,2014.0,0
322,Developmental biology: Earn your wings.,25810200,2015.0,0
323,Developmental biology: Nanotubes in the niche.,26131936,2013.0,1
324,Device fabrication: Three-dimensional printed electronics.,25652992,2007.5,16
325,Diabetes: A smart insulin patch.,26245577,2014.0,12
326,Dietary emulsifiers impact the mouse gut microbiota promoting colitis and metabolic syndrome,25731162,2010.0,294
327,Differential DNA mismatch repair underlies mutation rate variation across the human genome.,25707793,2012.0,111
328,Differential responses to lithium in hyperexcitable neurons from patients with bipolar disorder.,26524527,2009.0,124
329,Dilution of the cell cycle inhibitor Whi5 controls budding-yeast cell size.,26390151,2009.0,71
330,Direct observation of bond formation in solution with femtosecond X-ray scattering.,25693570,2009.5,36
331,Direct observation of electron propagation and dielectric screening on the atomic length scale.,25592539,2004.0,27
332,Directional dominance on stature and cognition in diverse human populations,26131930,2011.0,52
333,Disease: Closing the door on HIV.,26630600,2011.0,1
334,Disentangling type 2 diabetes and metformin treatment signatures in the human gut microbiota.,26633628,2013.0,357
335,Disruption of DNA-methylation-dependent long gene repression in Rett syndrome.,25762136,2011.0,181
336,"Dissemination, divergence and establishment of H7N9 influenza viruses in China.",25762140,2011.5,90
337,Distinct EMT programs control normal mammary stem cells and tumour-initiating cells.,26331542,2009.0,206
338,Distinct lineages of Ebola virus in Guinea during the 2014 West African epidemic.,26106863,2012.5,53
339,Distinct relationships of parietal and prefrontal cortices to evidence accumulation,25600270,2009.5,91
340,Diverse coupling of neurons to populations in sensory cortex.,25849776,2010.0,113
341,Diversion of aspartate in ASS1-deficient tumours fosters de novo pyrimidine synthesis.,26560030,2010.0,59
342,Does caspase-12 suppress inflammasome activation?,27251234,2010.5,5
343,Dosage delivery of sensitive reagents enables glove-box-free synthesis.,26268191,2009.5,16
344,Doubtful pathways to cold tolerance in plants.,25993970,2013.0,6
345,Dpp spreading is required for medial but not for lateral wing disc growth.,26550827,2007.5,36
346,Drosophila Ionotropic Receptor 25a mediates circadian clock resetting by temperature.,26580016,2009.0,52
347,Drought impact on forest carbon dynamics and fluxes in Amazonia.,25739631,2011.0,70
348,Drug development: The treasure chest.,26398738,2011.0,7
349,Drug-based modulation of endogenous stem cells promotes functional remyelination in vivo.,25896324,2010.0,111
350,Dynamic m(6)A mRNA methylation directs translational control of heat shock response,26458103,2011.0,241
351,Dynamically reconfigurable complex emulsions via tunable interfacial tensions.,25719669,2009.0,45
352,EFF-1-mediated regenerative axonal fusion requires components of the apoptotic pathway.,25567286,2009.0,44
353,ESCRT-III controls nuclear envelope reformation.,26040713,2011.0,111
354,EZH2 inhibition sensitizes BRG1 and EGFR mutant lung tumours to TopoII inhibitors.,25629630,2008.0,100
355,Early reprogramming regulators identified by prospective isolation and mass cytometry.,25830878,2012.0,42
356,Earth science: Free and forced climate variations.,25631442,2014.0,1
357,Ebola: Hidden reservoirs.,26607539,2004.5,10
358,Ecology: A trail map for trait-based studies.,26700809,2012.0,5
359,Ecology: Deep and complex ways to survive bleaching.,25652993,2011.0,2
360,Ecology: Different worlds.,26675725,2013.5,1
361,Ecology: Ecosystem responses to climate extremes.,26581288,2013.5,2
362,Ecology: Ecosystem vulnerability to ocean warming.,26560035,2013.0,0
363,Ecology: Global trends in plant naturalization.,26287462,2011.0,2
364,Ecology: Mangrove maintenance.,26490618,2015.0,0
365,Ecology: Recovering the potential of coral reefs.,25855291,2013.0,2
